player_id,player_name,player_display_name,team_id,team_name,league_name,season_id,season_name,position_code,position_name,stat_minutes_played_total,accurate_passes_%,aerials_won,blocked_shots,cleansheets,goals,key_passes,passes,player_age,shots,successful_dribbles,tackles
608285,Angel Gomes,Angel Gomes,44,Olympique Marseille,Ligue 1,25651,2025/2026,midfielder,Midfielder,894.0,90.89,0.5033557046979866,,4.0,0.30201342281879195,1.8120805369127515,58.59060402684563,24.955509924709105,1.1073825503355705,0.6040268456375839,1.0067114093959733
37593233,Jelle Van Neck,Jelle Van Neck,44,Olympique Marseille,Ligue 1,25651,2025/2026,goalkeeper,Goalkeeper,,,,,,,,,21.440109514031484,,,
96691,Amine Harit,Amine Harit,44,Olympique Marseille,Ligue 1,25651,2025/2026,midfielder,Midfielder,,,,,,,,,28.15879534565366,,,
186418,Gerónimo Rulli,Gerónimo Rulli,44,Olympique Marseille,Ligue 1,25651,2025/2026,goalkeeper,Goalkeeper,2070.0,81.47,0.6086956521739131,0.043478260869565216,7.0,,,32.608695652173914,33.23750855578371,,0.043478260869565216,0.08695652173913043
433458,Amine Gouiri,Amine Gouiri,44,Olympique Marseille,Ligue 1,25651,2025/2026,attacker,Attacker,887.0,82.73,0.6087936865839909,0.10146561443066515,5.0,0.6087936865839909,1.5219842164599773,25.264937993235627,25.49486652977413,2.94250281848929,1.319052987598647,0.9131905298759865
524849,Himad Abdelli,Himad Abdelli,44,Olympique Marseille,Ligue 1,25651,2025/2026,midfielder,Midfielder,63.0,85.0,1.4285714285714284,,,,1.4285714285714284,57.14285714285714,25.744010951403148,4.285714285714286,,1.4285714285714284
28575687,Conrad Jonathan Egan Riley,CJ Egan-Riley,44,Olympique Marseille,Ligue 1,25651,2025/2026,defender,Defender,549.0,93.13,1.3114754098360655,0.819672131147541,3.0,,0.32786885245901637,81.14754098360656,22.61738535249829,,0.16393442622950818,1.1475409836065575
37541144,Bilal Nadir,Bilal Nadir,44,Olympique Marseille,Ligue 1,25651,2025/2026,midfielder,Midfielder,559.0,90.23,0.6440071556350626,0.16100178890876565,4.0,,1.6100178890876564,56.028622540250446,21.713894592744694,1.1270125223613596,0.6440071556350626,2.737030411449016
29186,Jeffrey de Lange,Jeffrey de Lange,44,Olympique Marseille,Ligue 1,25651,2025/2026,goalkeeper,Goalkeeper,360.0,78.57,,,1.0,,0.25,28.0,27.37303216974675,,,
31739,Pierre-Emerick Aubameyang,Pierre-Emerick Aubameyang,44,Olympique Marseille,Ligue 1,25651,2025/2026,attacker,Attacker,1584.0,83.77,0.5681818181818181,,6.0,0.4545454545454546,1.25,19.602272727272727,36.158795345653665,2.1590909090909087,0.5681818181818181,0.3977272727272727
6306068,Quinten Maduro,Quinten Timber,44,Olympique Marseille,Ligue 1,25651,2025/2026,midfielder,Midfielder,720.0,86.35,0.125,,2.0,,0.75,39.375,24.161533196440793,0.75,1.25,2.625
1744,Pierre-Emile Højbjerg,Pierre-Emile Højbjerg,44,Olympique Marseille,Ligue 1,25651,2025/2026,midfielder,Midfielder,2108.0,91.26,1.0673624288425048,0.25616698292220114,8.0,0.08538899430740038,1.366223908918406,75.74003795066413,30.028747433264886,1.4516129032258065,0.5550284629981025,1.2808349146110056
37568808,Ethan Chidiebere Nwaneri,Ethan Nwaneri,44,Olympique Marseille,Ligue 1,25651,2025/2026,midfielder,Midfielder,275.0,87.39,0.32727272727272727,,1.0,0.6545454545454545,1.6363636363636362,36.32727272727273,18.403832991101986,2.618181818181818,1.309090909090909,0.9818181818181819
37599086,Arthur Vermeeren,Arthur Vermeeren,44,Olympique Marseille,Ligue 1,25651,2025/2026,midfielder,Midfielder,623.0,88.93,0.5778491171749599,0.14446227929373998,6.0,,1.0112359550561798,70.4975922953451,20.517453798767967,0.28892455858747995,0.5778491171749599,2.744783306581059
20333643,Mason Greenwood,Mason Greenwood,44,Olympique Marseille,Ligue 1,25651,2025/2026,midfielder,Midfielder,2006.0,81.79,0.08973080757726819,0.08973080757726819,7.0,0.6729810568295115,2.1086739780658026,47.06380857427717,23.871321013004792,4.262213359920239,2.0189431704885346,0.5832502492522433
35574,Benjamin Pavard,Benjamin Pavard,44,Olympique Marseille,Ligue 1,25651,2025/2026,defender,Defender,1476.0,93.08,1.8292682926829267,0.6097560975609756,8.0,0.06097560975609756,0.4878048780487805,63.414634146341456,29.38261464750171,0.4878048780487805,,1.3414634146341462
516291,Naif Aguerd,Nayef Aguerd,44,Olympique Marseille,Ligue 1,25651,2025/2026,defender,Defender,1399.0,92.86,2.444603288062902,0.5789849892780558,5.0,0.06433166547533953,0.19299499642601858,83.8241601143674,29.377138945927445,0.6433166547533953,0.06433166547533953,1.5439599714081487
34455209,Jon Rowe,Jonathan Rowe,44,Olympique Marseille,Ligue 1,25651,2025/2026,attacker,Attacker,63.0,79.17,1.4285714285714284,,,,1.4285714285714284,34.285714285714285,22.2943189596167,7.142857142857142,,
2511082,Hamed Junior Traorè,Hamed Junior Traoré,44,Olympique Marseille,Ligue 1,25651,2025/2026,midfielder,Midfielder,358.0,84.85,1.5083798882681565,0.25139664804469275,1.0,0.25139664804469275,1.2569832402234635,33.184357541899445,25.49486652977413,1.2569832402234635,0.7541899441340782,1.7597765363128492
37627720,Killian Prouchet,Killian Prouchet,4508,Paris,Ligue 1,25651,2025/2026,defender,Defender,,,,,,,,,20.55852156057495,,,
2217,Nouha Dicko,Nouha Dicko,4508,Paris,Ligue 1,25651,2025/2026,attacker,Attacker,81.0,76.92,3.333333333333333,,2.0,1.1111111111111112,1.1111111111111112,14.444444444444443,33.2539356605065,4.444444444444445,,1.1111111111111112
37578786,Yoan Koré,Yoan Koré,4508,Paris,Ligue 1,25651,2025/2026,defender,Defender,,,,,,,,,20.744695414099933,,,
96747,Vincent Marchetti,Vincent Marchetti,4508,Paris,Ligue 1,25651,2025/2026,midfielder,Midfielder,763.0,87.33,1.2975098296199215,0.23591087811271297,3.0,0.23591087811271297,0.3538663171690694,43.76146788990826,28.11498973305955,2.7129750982961993,1.2975098296199215,1.8872870249017037
529896,Ilan Kebbal,Ilan Kebbal,4508,Paris,Ligue 1,25651,2025/2026,midfielder,Midfielder,1968.0,86.45,0.09146341463414635,,6.0,0.3658536585365854,2.1036585365853657,57.39329268292683,27.09924709103354,2.057926829268293,1.326219512195122,1.417682926829268
37403963,Obed Nkambadio,Obed Nkambadio,4508,Paris,Ligue 1,25651,2025/2026,goalkeeper,Goalkeeper,990.0,79.86,0.09090909090909091,,1.0,,0.09090909090909091,39.72727272727273,22.518822724161534,,,
96805,Mathieu Cafaro,Mathieu Cafaro,4508,Paris,Ligue 1,25651,2025/2026,midfielder,Midfielder,151.0,81.25,0.5960264900662252,0.5960264900662252,1.0,,1.7880794701986755,28.60927152317881,28.39151266255989,3.576158940397351,0.5960264900662252,0.5960264900662252
96537,Maxime Lopez,Maxime Lopez,4508,Paris,Ligue 1,25651,2025/2026,midfielder,Midfielder,1687.0,89.63,0.10669828097213989,0.21339656194427978,5.0,,2.027267338470658,82.31772377000593,27.696098562628336,0.42679312388855956,0.37344398340248963,1.1736810906935389
2206983,Willem Geubbels,Willem Geubbels,4508,Paris,Ligue 1,25651,2025/2026,attacker,Attacker,723.0,71.05,3.112033195020747,0.4979253112033195,4.0,0.37344398340248963,0.4979253112033195,18.92116182572614,23.99726214921287,2.8630705394190867,0.12448132780082988,0.12448132780082988
64020,Thibault De Smet,Thibault De Smet,4508,Paris,Ligue 1,25651,2025/2026,defender,Defender,1061.0,84.48,1.0179076343072573,0.1696512723845429,3.0,,0.4241281809613572,44.278982092365695,27.195071868583163,0.3393025447690858,0.2544769085768143,1.8661639962299719
37590697,Diego Coppola,Diego Coppola,4508,Paris,Ligue 1,25651,2025/2026,defender,Defender,540.0,84.17,2.1666666666666665,1.0,2.0,,0.16666666666666669,46.333333333333336,21.631759069130734,0.33333333333333337,,1.3333333333333335
37787315,Rudy Matondo,Rudy Matondo,4508,Paris,Ligue 1,25651,2025/2026,midfielder,Midfielder,341.0,83.33,1.0557184750733137,0.26392961876832843,2.0,,0.5278592375366569,30.08797653958944,17.423682409308693,0.7917888563049854,0.5278592375366569,1.847507331378299
289398,Marshall Nyasha Munetsi,Marshall Munetsi,4508,Paris,Ligue 1,25651,2025/2026,midfielder,Midfielder,603.0,74.66,2.985074626865672,0.2985074626865672,4.0,0.44776119402985076,0.44776119402985076,21.791044776119403,29.14715947980835,2.08955223880597,0.44776119402985076,1.492537313432836
99097,Alimami Gory,Alimami Gory,4508,Paris,Ligue 1,25651,2025/2026,attacker,Attacker,731.0,84.21,0.7387140902872777,0.12311901504787962,4.0,0.24623803009575923,0.3693570451436389,18.714090287277703,28.958247775496236,1.3543091655266757,0.3693570451436389,1.8467852257181943
37421962,Otavio Ataide da Silva,Otávio,4508,Paris,Ligue 1,25651,2025/2026,defender,Defender,1729.0,88.39,1.0931174089068827,0.8328513591671486,5.0,,0.15615962984384038,65.48293811451705,23.318275154004105,0.5725853094274147,0.31231925968768076,2.0300751879699246
37662406,Nhoa Sangui,Nhoa Sangui,4508,Paris,Ligue 1,25651,2025/2026,defender,Defender,1289.0,86.09,0.4189294026377036,0.2094647013188518,5.0,,1.117145073700543,40.14740108611327,19.463381245722108,0.27928626842513576,0.4189294026377036,1.256788207913111
29336632,Moustapha Mbow,Moustapha Mbow,4508,Paris,Ligue 1,25651,2025/2026,defender,Defender,2266.0,91.56,2.105030891438658,0.8737864077669902,7.0,,0.1588702559576346,54.09532215357458,25.437371663244353,0.2780229479258606,0.23830538393645193,1.946160635481024
37622998,Luca Koleosho,Luca Koleosho,4508,Paris,Ligue 1,25651,2025/2026,attacker,Attacker,253.0,74.42,0.7114624505928854,,3.0,0.3557312252964427,1.4229249011857708,30.59288537549407,20.914442162902123,2.4901185770750986,1.7786561264822134,5.33596837944664
31053,Kevin Trapp,Kevin Trapp,4508,Paris,Ligue 1,25651,2025/2026,goalkeeper,Goalkeeper,1440.0,73.52,0.25,,6.0,,,38.9375,35.1047227926078,,,
103824,Adama Camara,Adama Camara,4508,Paris,Ligue 1,25651,2025/2026,defender,Defender,1834.0,86.23,1.1777535441657578,0.44165757906215924,7.0,0.04907306434023991,0.5888767720828789,37.05016357688114,28.824093086926762,0.8342420937840785,0.44165757906215924,2.208287895310796
32159,Ciro Immobile,Ciro Immobile,4508,Paris,Ligue 1,25651,2025/2026,attacker,Attacker,457.0,69.77,1.1816192560175054,0.3938730853391685,3.0,0.19693654266958424,0.787746170678337,16.936542669584245,35.48254620123203,1.7724288840262583,0.5908096280087527,
62400,Moses Daddy Simon,Moses Simon,4508,Paris,Ligue 1,25651,2025/2026,attacker,Attacker,1625.0,84.97,0.38769230769230767,0.055384615384615386,6.0,0.16615384615384615,1.716923076923077,20.270769230769233,30.094455852156056,1.606153846153846,1.1630769230769231,0.5538461538461539
96608,Nanitamo Jonathan Ikoné,Jonathan Ikoné,4508,Paris,Ligue 1,25651,2025/2026,attacker,Attacker,719.0,82.16,0.6258692628650905,,6.0,0.12517385257301808,0.7510431154381085,26.662030598052848,27.288158795345655,1.6272600834492352,1.502086230876217,1.251738525730181
432800,Jean-Philippe Krasso,Jean-Philippe Krasso,4508,Paris,Ligue 1,25651,2025/2026,attacker,Attacker,1089.0,71.48,2.7272727272727275,0.1652892561983471,7.0,0.1652892561983471,1.9834710743801653,21.15702479338843,28.079397672826833,2.1487603305785123,1.487603305785124,1.0743801652892562
37744793,Mohamed Benoit-Dao,Mohamed Benoit-Dao,4508,Paris,Ligue 1,25651,2025/2026,attacker,Attacker,1.0,100.0,,,,,,180.0,,,,
33683,Timothée Kolodziejczak,Timothée Kolodziejczak,4508,Paris,Ligue 1,25651,2025/2026,defender,Defender,672.0,90.32,1.3392857142857142,0.40178571428571425,4.0,,0.26785714285714285,66.42857142857143,33.87268993839836,0.13392857142857142,0.13392857142857142,1.3392857142857142
94761,Rémy Riou,Rémy Riou,4508,Paris,Ligue 1,25651,2025/2026,goalkeeper,Goalkeeper,,,,,,,,,38.026009582477755,,,
433483,Samir Chergui,Samir Chergui,4508,Paris,Ligue 1,25651,2025/2026,defender,Defender,974.0,89.47,1.6632443531827514,0.3696098562628337,2.0,0.09240246406570843,0.27720739219712526,45.64681724845996,26.521560574948666,1.0164271047227926,0.27720739219712526,1.4784394250513349
101467,Julien Yves Rémi López Baila,Julien Lopez,4508,Paris,Ligue 1,25651,2025/2026,attacker,Attacker,41.0,86.67,,,1.0,,,32.926829268292686,33.45653661875428,,,
62181,Hamari Traoré,Hamari Traoré,4508,Paris,Ligue 1,25651,2025/2026,defender,Defender,865.0,82.14,1.352601156069364,0.10404624277456648,3.0,,0.5202312138728323,47.75722543352601,33.549623545516766,0.4161849710982659,,2.393063583815029
37582118,Lohann Doucet,Lohann Doucet,4508,Paris,Ligue 1,25651,2025/2026,midfielder,Midfielder,119.0,91.23,,0.7563025210084033,1.0,0.7563025210084033,3.0252100840336134,43.109243697478995,22.91854893908282,1.5126050420168067,1.5126050420168067,0.7563025210084033
97080,Pierre-Yves Hamel,Pierre-Yves Hamel,4508,Paris,Ligue 1,25651,2025/2026,attacker,Attacker,78.0,66.67,2.3076923076923075,1.1538461538461537,,,,10.384615384615385,31.529089664613277,,,
